date,brand,count,failures
2023-09-30,Crucial,606,0
2023-09-24,Crucial,606,0
2023-09-26,Crucial,606,0
2023-09-25,Crucial,606,0
2023-09-23,Crucial,606,0
2023-09-27,Crucial,606,0
2023-09-28,Crucial,606,0
2023-09-29,Crucial,606,0
2023-09-22,Crucial,588,0
2023-08-30,Crucial,596,0
2023-09-19,Crucial,588,0
2023-09-18,Crucial,588,0
2023-09-17,Crucial,588,0
2023-09-15,Crucial,588,0
2023-09-21,Crucial,588,0
2023-08-29,Crucial,596,0
2023-09-20,Crucial,588,0
2023-09-16,Crucial,588,0
2023-09-14,Crucial,588,0
2023-08-24,Crucial,599,0
2023-08-25,Crucial,599,0
2023-08-23,Crucial,599,0
2023-09-08,Crucial,590,1
2023-09-07,Crucial,590,0
2023-09-09,Crucial,590,0
2023-09-01,Crucial,592,0
2023-09-02,Crucial,592,0
2023-08-31,Crucial,592,0
2023-09-06,Crucial,590,0
2023-08-28,Crucial,596,0
2023-08-27,Crucial,596,0
2023-08-26,Crucial,596,0
2023-09-12,Crucial,588,0
2023-09-13,Crucial,588,0
2023-09-11,Crucial,588,0
2023-09-10,Crucial,588,0
2023-08-20,Crucial,599,0
2023-08-22,Crucial,599,0
2023-08-18,Crucial,599,0
2023-08-21,Crucial,599,0
2023-08-19,Crucial,599,0
2023-08-17,Crucial,599,0
2023-08-16,Crucial,599,0
2023-09-04,Crucial,590,0
2023-09-03,Crucial,590,0
2023-09-05,Crucial,590,0
2023-08-15,Crucial,599,0
2023-08-14,Crucial,599,0
2023-08-12,Crucial,599,0
2023-08-13,Crucial,599,0
2023-08-07,Crucial,599,0
2023-08-08,Crucial,599,0
2023-08-03,Crucial,599,0
2023-07-30,Crucial,599,0
2023-08-11,Crucial,599,0
2023-08-04,Crucial,599,0
2023-08-01,Crucial,599,0
2023-08-06,Crucial,599,0
2023-08-02,Crucial,599,0
2023-07-28,Crucial,599,0
2023-07-29,Crucial,599,0
2023-08-10,Crucial,599,0
2023-07-31,Crucial,599,0
2023-08-09,Crucial,599,0
2023-08-05,Crucial,599,0
2023-07-27,Crucial,599,0
2023-07-26,Crucial,599,0
2023-07-25,Crucial,599,0
2023-07-24,Crucial,599,0
2023-07-21,Crucial,599,0
2023-07-22,Crucial,599,0
2023-07-20,Crucial,599,0
