date,brand,count,failures
2023-09-30,HGST,40499,0
2023-09-24,HGST,40629,2
2023-09-26,HGST,40630,1
2023-09-25,HGST,40630,1
2023-09-23,HGST,40629,1
2023-09-27,HGST,40556,0
2023-09-28,HGST,40496,1
2023-09-29,HGST,40501,0
2023-09-22,HGST,40629,1
2023-08-30,HGST,42323,1
2023-09-19,HGST,40625,0
2023-09-18,HGST,40625,0
2023-09-17,HGST,40627,2
2023-09-15,HGST,40624,0
2023-09-21,HGST,40627,0
2023-08-29,HGST,42324,1
2023-09-20,HGST,40626,0
2023-09-16,HGST,40626,0
2023-09-14,HGST,40625,3
2023-08-24,HGST,43222,2
2023-08-25,HGST,43222,0
2023-08-23,HGST,43222,0
2023-09-08,HGST,41356,2
2023-09-07,HGST,41352,0
2023-09-09,HGST,41355,2
2023-09-01,HGST,41423,0
2023-09-02,HGST,41423,1
2023-08-31,HGST,41423,1
2023-09-06,HGST,41353,0
2023-08-28,HGST,42324,0
2023-08-27,HGST,42323,0
2023-08-26,HGST,42264,1
2023-09-12,HGST,40623,0
2023-09-13,HGST,40625,3
2023-09-11,HGST,40623,0
2023-09-10,HGST,40622,0
2023-08-20,HGST,43223,3
2023-08-22,HGST,43221,0
2023-08-18,HGST,43224,0
2023-08-21,HGST,43220,0
2023-08-19,HGST,43223,1
2023-08-17,HGST,43223,0
2023-08-16,HGST,43222,1
2023-09-04,HGST,41354,0
2023-09-03,HGST,41355,0
2023-09-05,HGST,41354,0
2023-08-15,HGST,43226,4
2023-08-14,HGST,43225,0
2023-08-12,HGST,43226,1
2023-08-13,HGST,43225,2
2023-08-07,HGST,43225,0
2023-08-08,HGST,43226,0
2023-08-03,HGST,43226,0
2023-07-30,HGST,43226,1
2023-08-11,HGST,43226,0
2023-08-04,HGST,43227,1
2023-08-01,HGST,43227,2
2023-08-06,HGST,43225,0
2023-08-02,HGST,43225,0
2023-07-28,HGST,43225,0
2023-07-29,HGST,43226,0
2023-08-10,HGST,43226,1
2023-07-31,HGST,43226,0
2023-08-09,HGST,43226,1
2023-08-05,HGST,43197,1
2023-07-27,HGST,43226,1
2023-07-26,HGST,43227,1
2023-07-25,HGST,43227,0
2023-07-24,HGST,43227,0
2023-07-21,HGST,43228,0
2023-07-22,HGST,43228,1
2023-07-20,HGST,43227,0
2023-07-23,HGST,43225,0
2023-07-19,HGST,43227,2
2023-07-18,HGST,43227,1
2023-07-15,HGST,43227,1
2023-07-10,HGST,43229,1
2023-07-11,HGST,43229,3
2023-07-09,HGST,43229,0
2023-07-14,HGST,43226,1
2023-07-01,HGST,43230,0
2023-07-02,HGST,43230,0
2023-07-13,HGST,43198,1
2023-07-08,HGST,43227,1
2023-07-04,HGST,43230,0
2023-07-03,HGST,43230,0
2023-07-16,HGST,43227,1
2023-07-06,HGST,43200,0
2023-07-07,HGST,43229,3
2023-07-17,HGST,43227,0
2023-07-12,HGST,43227,3
2023-06-29,HGST,43230,0
2023-06-30,HGST,43230,2
2023-06-18,HGST,43233,1
2023-06-19,HGST,43231,1
2023-06-17,HGST,43234,3
2023-06-14,HGST,43234,1
2023-06-28,HGST,43231,2
2023-06-25,HGST,43232,3
2023-06-27,HGST,43232,1
2023-06-12,HGST,43234,2
2023-06-16,HGST,43233,1
2023-06-13,HGST,43233,0
2023-06-11,HGST,43233,0
2023-06-10,HGST,43234,1
2023-06-23,HGST,43232,0
2023-06-07,HGST,43234,0
2023-06-26,HGST,43230,0
2023-06-04,HGST,43230,1
2023-06-15,HGST,43234,0
2023-06-03,HGST,43229,1
2023-06-05,HGST,43231,1
2023-06-20,HGST,43230,0
2023-06-21,HGST,43230,0
2023-06-24,HGST,43232,0
2023-06-08,HGST,43233,2
2023-06-06,HGST,43231,1
2023-06-09,HGST,43233,1
2023-06-22,HGST,43212,0
2023-06-01,HGST,43182,1
2023-06-02,HGST,43229,0
2023-05-31,HGST,43179,1
2023-05-30,HGST,43224,1
2023-05-29,HGST,43224,0
2023-05-23,HGST,43214,1
2023-05-26,HGST,43220,0
2023-05-25,HGST,43217,1
2023-05-22,HGST,43213,2
2023-05-24,HGST,43215,0
2023-05-28,HGST,43221,0
2023-05-27,HGST,43221,0
2023-05-20,HGST,43210,0
2023-05-21,HGST,43210,0
2023-05-17,HGST,43197,4
2023-05-19,HGST,43206,1
2023-05-09,HGST,43203,4
2023-05-18,HGST,43199,3
2023-05-16,HGST,43195,1
2023-05-07,HGST,43200,0
2023-05-06,HGST,43204,4
2023-05-08,HGST,43199,3
2023-05-01,HGST,43203,5
2023-05-02,HGST,43199,4
2023-05-12,HGST,43209,5
2023-04-29,HGST,43210,2
2023-05-05,HGST,43198,2
2023-05-13,HGST,43208,4
2023-05-10,HGST,43206,5
2023-05-04,HGST,43195,4
2023-05-11,HGST,43203,3
2023-05-03,HGST,43197,4
2023-05-15,HGST,43197,3
2023-05-14,HGST,43203,5
2023-04-27,HGST,43223,8
2023-04-28,HGST,43212,3
2023-04-30,HGST,43207,4
2023-04-26,HGST,43223,4
2023-04-24,HGST,43226,2
2023-04-23,HGST,43224,2
2023-04-25,HGST,43226,2
2023-04-14,HGST,43271,10
2023-04-17,HGST,43252,8
2023-04-20,HGST,43240,8
2023-04-22,HGST,43182,2
2023-04-18,HGST,43203,9
2023-04-19,HGST,43243,9
2023-04-21,HGST,43235,8
2023-04-15,HGST,43199,8
2023-04-01,HGST,44213,2
2023-04-02,HGST,44211,3
2023-04-05,HGST,44206,10
2023-04-03,HGST,44207,1
2023-04-07,HGST,44185,3
2023-04-06,HGST,44161,3
2023-04-04,HGST,44207,6
2023-04-12,HGST,43279,12
2023-04-10,HGST,43284,5
2023-04-11,HGST,43284,6
2023-04-09,HGST,43285,3
2023-04-08,HGST,43286,5
2023-03-18,HGST,44274,1
2023-03-15,HGST,44277,1
2023-03-14,HGST,44279,2
2023-03-16,HGST,44277,2
2023-03-22,HGST,44265,12
2023-03-29,HGST,44227,3
2023-03-12,HGST,44283,1
2023-03-11,HGST,44283,0
2023-03-13,HGST,44282,3
2023-03-07,HGST,44284,0
2023-03-17,HGST,44274,2
2023-03-04,HGST,44288,3
2023-03-05,HGST,44285,1
2023-03-03,HGST,44291,3
2023-03-02,HGST,44292,3
2023-03-25,HGST,44247,10
2023-03-31,HGST,44215,0
2023-02-28,HGST,44292,1
2023-02-27,HGST,44293,1
2023-03-27,HGST,44237,4
2023-03-09,HGST,44284,0
2023-03-30,HGST,44216,3
2023-03-23,HGST,44252,4
2023-02-26,HGST,44294,3
2023-03-10,HGST,44284,2
2023-03-01,HGST,44292,0
2023-03-26,HGST,44237,1
2023-03-08,HGST,44284,0
2023-03-06,HGST,44287,2
2023-03-24,HGST,44249,5
2023-03-28,HGST,44190,2
2023-02-25,HGST,44293,0
2023-03-21,HGST,44155,4
2023-02-19,HGST,44301,0
2023-02-17,HGST,44300,0
2023-02-22,HGST,44296,1
2023-02-16,HGST,44300,1
2023-02-18,HGST,44300,0
2023-02-20,HGST,44300,0
2023-02-21,HGST,44300,2
2023-02-24,HGST,44294,0
2023-02-23,HGST,44295,0
2023-02-15,HGST,44301,1
2023-03-20,HGST,44072,2
2023-02-14,HGST,44303,0
2023-02-13,HGST,44304,1
2023-02-12,HGST,44304,0
2023-02-11,HGST,44304,0
2023-02-07,HGST,44305,2
2023-02-10,HGST,44304,0
2023-02-09,HGST,44304,2
2023-02-08,HGST,44303,0
2023-02-04,HGST,44305,1
2023-02-06,HGST,44305,2
2023-01-31,HGST,44306,0
2023-02-03,HGST,44304,3
2023-02-02,HGST,44305,0
2023-01-24,HGST,44310,0
2023-02-05,HGST,44304,1
2023-01-26,HGST,44311,2
2023-01-25,HGST,44307,0
2023-02-01,HGST,44276,0
2023-01-27,HGST,44309,1
2023-01-23,HGST,44308,1
2023-01-21,HGST,44305,0
