date,brand,count,failures
2023-09-30,Others,206,0
2023-09-24,Others,208,0
2023-09-26,Others,208,0
2023-09-25,Others,208,0
2023-09-23,Others,208,0
2023-09-27,Others,206,0
2023-09-28,Others,206,0
2023-09-29,Others,206,0
2023-09-22,Others,206,0
2023-08-30,Others,203,0
2023-09-19,Others,206,0
2023-09-18,Others,206,0
2023-09-17,Others,206,0
2023-09-15,Others,205,0
2023-09-21,Others,206,0
2023-08-29,Others,203,0
2023-09-20,Others,206,0
2023-09-16,Others,206,0
2023-09-14,Others,205,0
2023-08-24,Others,180,0
2023-08-25,Others,182,0
2023-08-23,Others,177,0
2023-09-08,Others,203,0
2023-09-07,Others,203,0
2023-09-09,Others,203,0
2023-09-01,Others,204,0
2023-09-02,Others,204,0
2023-08-31,Others,204,0
2023-09-06,Others,202,0
2023-08-28,Others,203,0
2023-08-27,Others,196,0
2023-08-26,Others,186,0
2023-09-12,Others,204,0
2023-09-13,Others,205,0
2023-09-11,Others,204,0
2023-09-10,Others,204,0
2023-08-20,Others,177,0
2023-08-22,Others,177,0
2023-08-18,Others,177,0
2023-08-21,Others,177,0
2023-08-19,Others,177,0
2023-08-17,Others,176,0
2023-08-16,Others,176,0
2023-09-04,Others,202,0
2023-09-03,Others,202,0
2023-09-05,Others,202,0
2023-08-15,Others,175,1
2023-08-14,Others,175,0
2023-08-12,Others,175,0
2023-08-13,Others,175,0
2023-08-07,Others,173,1
2023-08-08,Others,173,0
2023-08-03,Others,168,0
2023-07-30,Others,167,0
2023-08-11,Others,175,0
2023-08-04,Others,170,0
2023-08-01,Others,167,0
2023-08-06,Others,173,0
2023-08-02,Others,168,0
2023-07-28,Others,166,0
2023-07-29,Others,167,0
2023-08-10,Others,172,1
2023-07-31,Others,167,1
2023-08-09,Others,173,0
2023-08-05,Others,171,0
2023-07-27,Others,166,0
2023-07-26,Others,166,0
2023-07-25,Others,166,0
2023-07-24,Others,166,0
2023-07-21,Others,164,0
2023-07-22,Others,165,0
2023-07-20,Others,164,0
2023-07-23,Others,166,0
2023-07-19,Others,164,0
2023-07-18,Others,164,0
2023-07-15,Others,164,0
2023-07-10,Others,162,0
2023-07-11,Others,162,1
2023-07-09,Others,162,0
2023-07-14,Others,164,0
2023-07-01,Others,160,0
2023-07-02,Others,161,0
2023-07-13,Others,163,0
2023-07-08,Others,162,0
2023-07-04,Others,161,0
2023-07-03,Others,161,0
2023-07-16,Others,164,0
2023-07-06,Others,162,0
2023-07-07,Others,162,0
2023-07-17,Others,164,0
2023-07-12,Others,163,0
2023-06-29,Others,159,1
2023-06-30,Others,160,0
2023-06-18,Others,159,0
2023-06-19,Others,159,0
2023-06-17,Others,159,0
2023-06-14,Others,156,0
2023-06-28,Others,159,0
2023-06-25,Others,159,0
2023-06-27,Others,159,0
2023-06-12,Others,156,0
2023-06-16,Others,158,0
2023-06-13,Others,156,0
2023-06-11,Others,156,0
2023-06-10,Others,156,0
2023-06-23,Others,159,0
2023-06-07,Others,155,1
2023-06-26,Others,159,0
2023-06-04,Others,155,0
2023-06-15,Others,158,0
2023-06-03,Others,155,0
2023-06-05,Others,155,0
2023-06-20,Others,159,0
2023-06-21,Others,159,1
2023-06-24,Others,159,0
2023-06-08,Others,155,0
2023-06-06,Others,155,0
2023-06-09,Others,156,0
2023-06-22,Others,159,0
2023-06-01,Others,154,0
2023-06-02,Others,154,0
2023-05-31,Others,154,0
2023-05-30,Others,153,0
2023-05-29,Others,153,0
