date,brand,count,failures
2023-09-30,Seagate,118184,0
2023-09-24,Seagate,119025,6
2023-09-26,Seagate,119018,5
2023-09-25,Seagate,119023,4
2023-09-23,Seagate,119023,3
2023-09-27,Seagate,118182,6
2023-09-28,Seagate,118175,8
2023-09-29,Seagate,118179,2
2023-09-22,Seagate,119023,12
2023-08-30,Seagate,120034,16
2023-09-19,Seagate,119026,9
2023-09-18,Seagate,119028,18
2023-09-17,Seagate,119027,6
2023-09-15,Seagate,119027,11
2023-09-21,Seagate,119023,2
2023-08-29,Seagate,120007,4
2023-09-20,Seagate,119022,5
2023-09-16,Seagate,118994,2
2023-09-14,Seagate,119022,25
2023-08-24,Seagate,120060,9
2023-08-25,Seagate,120028,19
2023-08-23,Seagate,120052,13
2023-09-08,Seagate,119201,5
2023-09-07,Seagate,119201,10
2023-09-09,Seagate,119205,10
2023-09-01,Seagate,120030,7
2023-09-02,Seagate,120028,7
2023-08-31,Seagate,120031,21
2023-09-06,Seagate,119178,13
2023-08-28,Seagate,120036,2
2023-08-27,Seagate,120041,8
2023-08-26,Seagate,120041,12
2023-09-12,Seagate,119026,6
2023-09-13,Seagate,119025,12
2023-09-11,Seagate,119028,7
2023-09-10,Seagate,119025,4
2023-08-20,Seagate,120058,6
2023-08-22,Seagate,120056,13
2023-08-18,Seagate,120064,10
2023-08-21,Seagate,120057,12
2023-08-19,Seagate,120057,4
2023-08-17,Seagate,120060,7
2023-08-16,Seagate,120003,13
2023-09-04,Seagate,119186,5
2023-09-03,Seagate,119182,1
2023-09-05,Seagate,119180,6
2023-08-15,Seagate,120063,6
2023-08-14,Seagate,120041,3
2023-08-12,Seagate,120045,5
2023-08-13,Seagate,120042,12
2023-08-07,Seagate,120049,11
2023-08-08,Seagate,120041,4
2023-08-03,Seagate,120050,14
2023-07-30,Seagate,120051,7
2023-08-11,Seagate,120042,6
2023-08-04,Seagate,120048,8
2023-08-01,Seagate,120048,9
2023-08-06,Seagate,120050,4
2023-08-02,Seagate,120045,10
2023-07-28,Seagate,120047,12
2023-07-29,Seagate,120050,7
2023-08-10,Seagate,120040,9
2023-07-31,Seagate,120047,5
2023-08-09,Seagate,120006,10
2023-08-05,Seagate,120047,2
2023-07-27,Seagate,120048,15
2023-07-26,Seagate,120049,11
2023-07-25,Seagate,120044,6
2023-07-24,Seagate,120045,5
2023-07-21,Seagate,120050,11
2023-07-22,Seagate,120050,6
2023-07-20,Seagate,120052,8
2023-07-23,Seagate,120018,4
2023-07-19,Seagate,120039,7
2023-07-18,Seagate,120023,9
2023-07-15,Seagate,120029,7
2023-07-10,Seagate,120029,5
2023-07-11,Seagate,120025,4
2023-07-09,Seagate,120026,4
2023-07-14,Seagate,120029,5
2023-07-01,Seagate,120029,10
2023-07-02,Seagate,120026,3
2023-07-13,Seagate,120028,6
2023-07-08,Seagate,119995,3
2023-07-04,Seagate,119990,5
2023-07-03,Seagate,119996,6
2023-07-16,Seagate,119971,3
2023-07-06,Seagate,120020,9
2023-07-07,Seagate,119981,3
2023-07-17,Seagate,119968,6
2023-07-12,Seagate,119966,9
2023-06-29,Seagate,120021,8
2023-06-30,Seagate,120029,6
2023-06-18,Seagate,120032,6
2023-06-19,Seagate,120033,17
2023-06-17,Seagate,120032,6
2023-06-14,Seagate,120032,21
2023-06-28,Seagate,120023,4
2023-06-25,Seagate,120026,7
2023-06-27,Seagate,120026,8
2023-06-12,Seagate,120030,21
2023-06-16,Seagate,120029,9
2023-06-13,Seagate,120029,2
2023-06-11,Seagate,120032,3
2023-06-10,Seagate,120032,4
2023-06-23,Seagate,120026,7
2023-06-07,Seagate,120034,8
2023-06-26,Seagate,120020,5
2023-06-04,Seagate,120039,8
2023-06-15,Seagate,120031,26
2023-06-03,Seagate,120038,5
2023-06-05,Seagate,120031,5
2023-06-20,Seagate,120027,3
2023-06-21,Seagate,120028,4
2023-06-24,Seagate,120025,6
2023-06-08,Seagate,120029,5
2023-06-06,Seagate,120001,4
2023-06-09,Seagate,120001,7
2023-06-22,Seagate,119996,6
2023-06-01,Seagate,120040,14
2023-06-02,Seagate,119979,9
2023-05-31,Seagate,120040,7
2023-05-30,Seagate,118835,5
2023-05-29,Seagate,118842,2
2023-05-23,Seagate,117657,3
2023-05-26,Seagate,117651,10
2023-05-25,Seagate,117659,17
2023-05-22,Seagate,117659,6
2023-05-24,Seagate,117657,11
2023-05-28,Seagate,117645,8
2023-05-27,Seagate,117649,8
2023-05-20,Seagate,117659,12
2023-05-21,Seagate,117658,4
2023-05-17,Seagate,117623,13
2023-05-19,Seagate,117644,8
2023-05-09,Seagate,117624,17
2023-05-18,Seagate,117631,8
2023-05-16,Seagate,117606,13
2023-05-07,Seagate,117609,5
2023-05-06,Seagate,117620,20
2023-05-08,Seagate,117609,8
2023-05-01,Seagate,117614,10
2023-05-02,Seagate,117613,13
2023-05-12,Seagate,117601,7
2023-04-29,Seagate,117617,16
2023-05-05,Seagate,117604,17
2023-05-13,Seagate,117615,8
2023-05-10,Seagate,117577,25
2023-05-04,Seagate,117607,18
2023-05-11,Seagate,117599,12
2023-05-03,Seagate,117607,23
2023-05-15,Seagate,117559,3
2023-05-14,Seagate,117574,9
2023-04-27,Seagate,117609,17
2023-04-28,Seagate,117603,11
2023-04-30,Seagate,117553,3
2023-04-26,Seagate,117599,11
2023-04-24,Seagate,116393,12
2023-04-23,Seagate,116384,2
2023-04-25,Seagate,116335,7
2023-04-14,Seagate,116254,10
2023-04-17,Seagate,116216,11
2023-04-20,Seagate,116222,15
2023-04-22,Seagate,116251,7
2023-04-18,Seagate,116223,10
2023-04-19,Seagate,116227,21
2023-04-21,Seagate,116174,16
2023-04-15,Seagate,116167,10
