date,brand,count,failures
2023-09-30,Toshiba,73384,0
2023-09-24,Toshiba,73384,0
2023-09-26,Toshiba,73385,3
2023-09-25,Toshiba,73380,4
2023-09-23,Toshiba,73385,2
2023-09-27,Toshiba,73383,1
2023-09-28,Toshiba,73383,0
2023-09-29,Toshiba,73386,0
2023-09-22,Toshiba,73385,4
2023-08-30,Toshiba,69797,2
2023-09-19,Toshiba,72183,2
2023-09-18,Toshiba,72183,2
2023-09-17,Toshiba,72182,0
2023-09-15,Toshiba,72184,3
2023-09-21,Toshiba,72184,1
2023-08-29,Toshiba,69798,0
2023-09-20,Toshiba,72178,2
2023-09-16,Toshiba,72181,1
2023-09-14,Toshiba,72181,3
2023-08-24,Toshiba,69810,1
2023-08-25,Toshiba,69809,3
2023-08-23,Toshiba,69811,3
2023-09-08,Toshiba,70986,3
2023-09-07,Toshiba,70982,3
2023-09-09,Toshiba,70986,3
2023-09-01,Toshiba,69792,3
2023-09-02,Toshiba,69791,6
2023-08-31,Toshiba,69790,3
2023-09-06,Toshiba,70983,4
2023-08-28,Toshiba,69799,1
2023-08-27,Toshiba,69799,3
2023-08-26,Toshiba,69800,3
2023-09-12,Toshiba,70983,1
2023-09-13,Toshiba,70982,3
2023-09-11,Toshiba,70981,0
2023-09-10,Toshiba,70981,0
2023-08-20,Toshiba,68615,1
2023-08-22,Toshiba,68614,4
2023-08-18,Toshiba,68614,2
2023-08-21,Toshiba,68615,1
2023-08-19,Toshiba,68614,2
2023-08-17,Toshiba,68613,2
2023-08-16,Toshiba,68614,4
2023-09-04,Toshiba,69787,0
2023-09-03,Toshiba,69786,0
2023-09-05,Toshiba,69786,3
2023-08-15,Toshiba,68595,1
2023-08-14,Toshiba,67713,1
2023-08-12,Toshiba,67714,1
2023-08-13,Toshiba,67713,0
2023-08-07,Toshiba,67716,1
2023-08-08,Toshiba,67718,2
2023-08-03,Toshiba,67715,1
2023-07-30,Toshiba,67721,3
2023-08-11,Toshiba,67711,3
2023-08-04,Toshiba,67715,2
2023-08-01,Toshiba,67720,2
2023-08-06,Toshiba,67716,2
2023-08-02,Toshiba,67717,2
2023-07-28,Toshiba,67721,4
2023-07-29,Toshiba,67721,1
2023-08-10,Toshiba,67683,5
2023-07-31,Toshiba,67720,1
2023-08-09,Toshiba,67715,1
2023-08-05,Toshiba,67686,2
2023-07-27,Toshiba,67724,4
2023-07-26,Toshiba,66505,0
2023-07-25,Toshiba,66524,2
2023-07-24,Toshiba,66522,2
2023-07-21,Toshiba,66527,1
2023-07-22,Toshiba,66529,1
2023-07-20,Toshiba,66528,1
2023-07-23,Toshiba,66529,7
2023-07-19,Toshiba,66523,2
2023-07-18,Toshiba,65268,4
2023-07-15,Toshiba,55733,1
2023-07-10,Toshiba,55737,1
2023-07-11,Toshiba,55734,2
2023-07-09,Toshiba,55738,0
2023-07-14,Toshiba,55732,3
2023-07-01,Toshiba,55739,3
2023-07-02,Toshiba,55742,4
2023-07-13,Toshiba,55735,3
2023-07-08,Toshiba,55737,1
2023-07-04,Toshiba,55740,2
2023-07-03,Toshiba,55741,2
2023-07-16,Toshiba,55730,1
2023-07-06,Toshiba,55739,3
2023-07-07,Toshiba,55735,5
2023-07-17,Toshiba,55724,0
2023-07-12,Toshiba,55733,2
2023-06-29,Toshiba,55742,1
2023-06-30,Toshiba,55739,8
2023-06-18,Toshiba,55739,0
2023-06-19,Toshiba,55740,0
2023-06-17,Toshiba,55739,2
2023-06-14,Toshiba,55742,4
2023-06-28,Toshiba,55740,1
2023-06-25,Toshiba,55745,3
2023-06-27,Toshiba,55743,4
2023-06-12,Toshiba,55741,1
2023-06-16,Toshiba,55740,2
2023-06-13,Toshiba,55740,0
2023-06-11,Toshiba,55742,0
2023-06-10,Toshiba,55741,1
2023-06-23,Toshiba,55740,1
