date,brand,count,failures
2023-09-30,Western Digital,30702,0
2023-09-24,Western Digital,29512,0
2023-09-26,Western Digital,29512,1
2023-09-25,Western Digital,29512,0
2023-09-23,Western Digital,29512,0
2023-09-27,Western Digital,29502,0
2023-09-28,Western Digital,29502,0
2023-09-29,Western Digital,29502,1
2023-09-22,Western Digital,28314,0
2023-08-30,Western Digital,28329,1
2023-09-19,Western Digital,28315,0
2023-09-18,Western Digital,28315,0
2023-09-17,Western Digital,28315,0
2023-09-15,Western Digital,28315,2
2023-09-21,Western Digital,28315,1
2023-08-29,Western Digital,28329,0
2023-09-20,Western Digital,28315,0
2023-09-16,Western Digital,28315,0
2023-09-14,Western Digital,28314,0
2023-08-24,Western Digital,27128,0
2023-08-25,Western Digital,27128,0
2023-08-23,Western Digital,27127,0
2023-09-08,Western Digital,28325,0
2023-09-07,Western Digital,28326,1
2023-09-09,Western Digital,28327,0
2023-09-01,Western Digital,28327,0
2023-09-02,Western Digital,28328,0
2023-08-31,Western Digital,28326,0
2023-09-06,Western Digital,28327,1
2023-08-28,Western Digital,27129,0
2023-08-27,Western Digital,27129,1
2023-08-26,Western Digital,27128,0
2023-09-12,Western Digital,28316,0
2023-09-13,Western Digital,28316,1
2023-09-11,Western Digital,28316,0
2023-09-10,Western Digital,28316,0
2023-08-20,Western Digital,27109,1
2023-08-22,Western Digital,27108,1
2023-08-18,Western Digital,27109,0
2023-08-21,Western Digital,27108,0
2023-08-19,Western Digital,27109,0
2023-08-17,Western Digital,27109,0
2023-08-16,Western Digital,27109,0
2023-09-04,Western Digital,28323,0
2023-09-03,Western Digital,28321,0
2023-09-05,Western Digital,28323,0
2023-08-15,Western Digital,27109,0
2023-08-14,Western Digital,26807,0
2023-08-12,Western Digital,26806,0
2023-08-13,Western Digital,26808,1
2023-08-07,Western Digital,26804,1
2023-08-08,Western Digital,26804,0
2023-08-03,Western Digital,26805,0
2023-07-30,Western Digital,26804,0
2023-08-11,Western Digital,26806,1
2023-08-04,Western Digital,26805,1
2023-08-01,Western Digital,26804,0
2023-08-06,Western Digital,26804,0
2023-08-02,Western Digital,26805,0
2023-07-28,Western Digital,26803,1
2023-07-29,Western Digital,26803,0
2023-08-10,Western Digital,26805,0
2023-07-31,Western Digital,26804,1
2023-08-09,Western Digital,26805,0
2023-08-05,Western Digital,26805,0
2023-07-27,Western Digital,26800,1
2023-07-26,Western Digital,26800,1
2023-07-25,Western Digital,26795,0
2023-07-24,Western Digital,26794,0
2023-07-21,Western Digital,26795,1
2023-07-22,Western Digital,26794,0
2023-07-20,Western Digital,26794,0
2023-07-23,Western Digital,26794,0
2023-07-19,Western Digital,26794,0
2023-07-18,Western Digital,26794,0
2023-07-15,Western Digital,25592,0
2023-07-10,Western Digital,25591,0
2023-07-11,Western Digital,25591,0
2023-07-09,Western Digital,25591,0
2023-07-14,Western Digital,25592,0
2023-07-01,Western Digital,25590,1
2023-07-02,Western Digital,25590,0
2023-07-13,Western Digital,25592,0
2023-07-08,Western Digital,25591,0
2023-07-04,Western Digital,25590,0
2023-07-03,Western Digital,25590,0
2023-07-16,Western Digital,25593,0
2023-07-06,Western Digital,25591,0
2023-07-07,Western Digital,25591,0
2023-07-17,Western Digital,25593,0
2023-07-12,Western Digital,25591,1
2023-06-29,Western Digital,25590,1
2023-06-30,Western Digital,25590,0
2023-06-18,Western Digital,25589,0
2023-06-19,Western Digital,25589,0
2023-06-17,Western Digital,25589,0
2023-06-14,Western Digital,25588,0
2023-06-28,Western Digital,25590,0
2023-06-25,Western Digital,25564,0
2023-06-27,Western Digital,25565,0
2023-06-12,Western Digital,25588,0
2023-06-16,Western Digital,25589,0
2023-06-13,Western Digital,25588,0
2023-06-11,Western Digital,25587,0
2023-06-10,Western Digital,25588,1
2023-06-23,Western Digital,25564,0
2023-06-07,Western Digital,25585,0
2023-06-26,Western Digital,25564,0
2023-06-04,Western Digital,25586,0
2023-06-15,Western Digital,25588,0
2023-06-03,Western Digital,25586,0
2023-06-05,Western Digital,25586,0
2023-06-20,Western Digital,25563,0
2023-06-21,Western Digital,25563,0
2023-06-24,Western Digital,25564,0
2023-06-08,Western Digital,25587,0
2023-06-06,Western Digital,25586,1
2023-06-09,Western Digital,25587,0
2023-06-22,Western Digital,25563,0
2023-06-01,Western Digital,25583,0
2023-06-02,Western Digital,25585,0
2023-05-31,Western Digital,25582,0
2023-05-30,Western Digital,25581,0
2023-05-29,Western Digital,25581,0
2023-05-23,Western Digital,25579,0
2023-05-26,Western Digital,25579,0
2023-05-25,Western Digital,25579,1
2023-05-22,Western Digital,25578,0
2023-05-24,Western Digital,25579,0
2023-05-28,Western Digital,25580,0
2023-05-27,Western Digital,25580,0
2023-05-20,Western Digital,25577,0
2023-05-21,Western Digital,25577,0
2023-05-17,Western Digital,25576,0
2023-05-19,Western Digital,25576,0
2023-05-09,Western Digital,25573,0
2023-05-18,Western Digital,25576,0
2023-05-16,Western Digital,25575,0
2023-05-07,Western Digital,25572,0
2023-05-06,Western Digital,25572,0
2023-05-08,Western Digital,25572,0
2023-05-01,Western Digital,25570,0
2023-05-02,Western Digital,25570,0
2023-05-12,Western Digital,25577,0
2023-04-29,Western Digital,25570,0
2023-05-05,Western Digital,25572,1
2023-05-13,Western Digital,25578,0
2023-05-10,Western Digital,25575,0
2023-05-04,Western Digital,25571,0
2023-05-11,Western Digital,25575,0
2023-05-03,Western Digital,25570,2
2023-05-15,Western Digital,25577,2
2023-05-14,Western Digital,25577,0
2023-04-27,Western Digital,25570,0
2023-04-28,Western Digital,25571,2
2023-04-30,Western Digital,25570,0
2023-04-26,Western Digital,25570,1
2023-04-24,Western Digital,25572,1
2023-04-23,Western Digital,25572,0
2023-04-25,Western Digital,25570,0
2023-04-14,Western Digital,25570,1
2023-04-17,Western Digital,25569,1
2023-04-20,Western Digital,25561,1
2023-04-22,Western Digital,25570,0
2023-04-18,Western Digital,25569,2
2023-04-19,Western Digital,25567,1
2023-04-21,Western Digital,25568,2
2023-04-15,Western Digital,25568,0
2023-04-01,Western Digital,25568,0
2023-04-02,Western Digital,25568,1
2023-04-05,Western Digital,25566,2
2023-04-03,Western Digital,25567,0
2023-04-07,Western Digital,25564,1
2023-04-06,Western Digital,25564,0
